"","Bad","Behavior_Score_Bins","Good_Customer_Score_Bins","Quarterly_Fico_Score_Bins","Credit_Limit","Utility_Bins","Opening_Balance_Bins","Ending_Balance_Bins","Net_Purchases_During_Cycle","Net_Payments_During_Cycle","Months_On_Book"
"1","0","[670, Inf)","[820, Inf)","[-Inf,550)",350,"[0,0.5)","[141,228)","[-Inf,131)",0,141,98
"2","0","[600,670)","[-Inf,700)","[-Inf,550)",450,"[1, Inf)","[347, Inf)","[299, Inf)",81,160,86
"5","0","[670, Inf)","[700,750)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",74,50,164
"6","0","[670, Inf)","[700,750)","[650, Inf)",450,"[0.5,1)","[228,347)","[299, Inf)",67,40,161
"7","0","[600,670)","[750,820)","[-Inf,550)",650,"[0.5,1)","[347, Inf)","[299, Inf)",99,100,161
"8","0","[670, Inf)","[820, Inf)","[650, Inf)",850,"[0,0.5)","[-Inf,141)","[-Inf,131)",29,30,157
"10","0","[600,670)","[-Inf,700)","[550,642)",350,"[1, Inf)","[347, Inf)","[299, Inf)",14,23,93
"12","0","[670, Inf)","[820, Inf)","[650, Inf)",825,"[0,0.5)","[228,347)","[131,242)",19,100,154
"15","0","[670, Inf)","[700,750)","[-Inf,550)",800,"[0.5,1)","[347, Inf)","[299, Inf)",301,50,101
"17","0","[670, Inf)","[700,750)","[-Inf,550)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,20,98
"18","0","[600,670)","[700,750)","[642,650)",300,"[0.5,1)","[228,347)","[242,299)",0,20,87
"21","0","[670, Inf)","[700,750)","[550,642)",975,"[0.5,1)","[347, Inf)","[299, Inf)",0,26,123
"22","0","[600,670)","[700,750)","[-Inf,550)",800,"[0.5,1)","[347, Inf)","[299, Inf)",0,62,149
"23","0","[670, Inf)","[820, Inf)","[550,642)",500,"[0.5,1)","[347, Inf)","[299, Inf)",0,110,150
"24","0","[600,670)","[-Inf,700)","[-Inf,550)",950,"[1, Inf)","[347, Inf)","[299, Inf)",0,50,144
"25","0","[670, Inf)","[750,820)","[650, Inf)",250,"[0.5,1)","[141,228)","[131,242)",22,80,84
"27","0","[600,670)","[700,750)","[550,642)",550,"[0.5,1)","[347, Inf)","[299, Inf)",114,100,140
"29","0","[670, Inf)","[820, Inf)","[650, Inf)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,6,138
"30","0","[670, Inf)","[700,750)","[650, Inf)",800,"[0.5,1)","[228,347)","[299, Inf)",369,60,140
"32","0","[670, Inf)","[820, Inf)","[650, Inf)",450,"[0,0.5)","[228,347)","[-Inf,131)",94,294,139
"34","0","[670, Inf)","[750,820)","[-Inf,550)",450,"[0.5,1)","[228,347)","[299, Inf)",30,30,137
"35","0","[670, Inf)","[820, Inf)","[650, Inf)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,0,87
"38","0","[670, Inf)","[750,820)","[642,650)",250,"[0.5,1)","[141,228)","[131,242)",0,30,85
"39","0","[670, Inf)","[750,820)","[650, Inf)",350,"[0.5,1)","[228,347)","[299, Inf)",0,30,135
"40","0","[670, Inf)","[820, Inf)","[-Inf,550)",700,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,25,123
"41","0","[600,670)","[820, Inf)","[650, Inf)",450,"[0,0.5)","[-Inf,141)","[131,242)",268,164,103
"43","0","[670, Inf)","[820, Inf)","[550,642)",700,"[0,0.5)","[141,228)","[-Inf,131)",0,85,110
"44","0","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",0,20,89
"46","1","[600,670)","[-Inf,700)","[642,650)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,20,133
"49","0","[670, Inf)","[700,750)","[550,642)",1100,"[1, Inf)","[347, Inf)","[299, Inf)",56,80,97
"51","0","[600,670)","[-Inf,700)","[550,642)",250,"[1, Inf)","[141,228)","[242,299)",34,20,132
"52","0","[670, Inf)","[820, Inf)","[650, Inf)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,12,90
"54","0","[600,670)","[750,820)","[550,642)",550,"[0.5,1)","[-Inf,141)","[299, Inf)",402,134,131
"55","0","[670, Inf)","[700,750)","[550,642)",550,"[0.5,1)","[347, Inf)","[299, Inf)",23,50,131
"56","0","[670, Inf)","[750,820)","[650, Inf)",1500,"[0.5,1)","[347, Inf)","[299, Inf)",0,25,131
"62","0","[670, Inf)","[750,820)","[650, Inf)",1150,"[0.5,1)","[228,347)","[299, Inf)",719,50,128
"66","0","[670, Inf)","[820, Inf)","[650, Inf)",400,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,55,95
"67","0","[670, Inf)","[700,750)","[642,650)",1000,"[0.5,1)","[347, Inf)","[299, Inf)",0,35,126
"68","0","[670, Inf)","[750,820)","[650, Inf)",950,"[0.5,1)","[347, Inf)","[299, Inf)",0,130,126
"69","0","[600,670)","[750,820)","[650, Inf)",350,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,0,112
"73","0","[670, Inf)","[750,820)","[-Inf,550)",850,"[0.5,1)","[347, Inf)","[299, Inf)",0,100,125
"75","0","[670, Inf)","[820, Inf)","[650, Inf)",700,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,0,96
"79","0","[670, Inf)","[820, Inf)","[642,650)",350,"[0.5,1)","[228,347)","[131,242)",12,75,119
"81","0","[670, Inf)","[820, Inf)","[650, Inf)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,25,119
"82","0","[670, Inf)","[820, Inf)","[642,650)",1000,"[0,0.5)","[347, Inf)","[-Inf,131)",0,985,124
"83","0","[670, Inf)","[820, Inf)","[650, Inf)",400,"[0,0.5)","[141,228)","[131,242)",0,50,124
"84","0","[670, Inf)","[750,820)","[650, Inf)",350,"[0.5,1)","[228,347)","[242,299)",136,120,104
"85","0","[600,670)","[750,820)","[550,642)",350,"[0.5,1)","[347, Inf)","[242,299)",0,100,113
"87","0","[670, Inf)","[820, Inf)","[550,642)",750,"[0,0.5)","[-Inf,141)","[-Inf,131)",19,125,123
"92","0","[670, Inf)","[750,820)","[-Inf,550)",800,"[0.5,1)","[347, Inf)","[299, Inf)",0,21,122
"93","0","[670, Inf)","[820, Inf)","[550,642)",700,"[0.5,1)","[347, Inf)","[299, Inf)",54,50,122
"94","0","[600,670)","[700,750)","[650, Inf)",500,"[0.5,1)","[347, Inf)","[299, Inf)",58,40,90
"97","0","[600,670)","[700,750)","[550,642)",350,"[0.5,1)","[347, Inf)","[299, Inf)",0,20,100
