"","Bad","Behavior_Score_Bins","Good_Customer_Score_Bins","Quarterly_Fico_Score_Bins","Credit_Limit","Utility_Bins","Opening_Balance_Bins","Ending_Balance_Bins","Net_Purchases_During_Cycle","Net_Payments_During_Cycle","Months_On_Book"
"3","0","[670, Inf)","[820, Inf)","[650, Inf)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,20,91
"4","0","[600,670)","[700,750)","[-Inf,550)",650,"[0.5,1)","[347, Inf)","[299, Inf)",15,20,164
"9","0","[670, Inf)","[700,750)","[650, Inf)",350,"[0.5,1)","[228,347)","[299, Inf)",150,100,110
"11","0","[670, Inf)","[-Inf,700)","[550,642)",950,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,0,156
"13","0","[600,670)","[700,750)","[-Inf,550)",450,"[0.5,1)","[347, Inf)","[299, Inf)",146,300,107
"14","0","[600,670)","[700,750)","[550,642)",350,"[0.5,1)","[347, Inf)","[299, Inf)",26,62,154
"16","0","[670, Inf)","[820, Inf)","[550,642)",550,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,12,96
"19","0","[600,670)","[-Inf,700)","[550,642)",450,"[1, Inf)","[347, Inf)","[299, Inf)",0,30,150
"20","0","[670, Inf)","[820, Inf)","[650, Inf)",1100,"[0,0.5)","[228,347)","[242,299)",62,100,148
"26","0","[670, Inf)","[700,750)","[650, Inf)",450,"[1, Inf)","[347, Inf)","[299, Inf)",103,50,145
"28","0","[670, Inf)","[750,820)","[650, Inf)",2500,"[0.5,1)","[347, Inf)","[299, Inf)",188,150,140
"31","0","[600,670)","[820, Inf)","[550,642)",250,"[0,0.5)","[228,347)","[-Inf,131)",0,226,86
"33","0","[670, Inf)","[700,750)","[550,642)",350,"[0.5,1)","[228,347)","[299, Inf)",0,25,137
"36","0","[670, Inf)","[700,750)","[650, Inf)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,35,140
"37","0","[600,670)","[750,820)","[-Inf,550)",700,"[0.5,1)","[347, Inf)","[299, Inf)",0,20,136
"42","0","[600,670)","[700,750)","[-Inf,550)",350,"[1, Inf)","[228,347)","[299, Inf)",123,25,113
"45","0","[670, Inf)","[820, Inf)","[650, Inf)",550,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,0,119
"47","0","[670, Inf)","[750,820)","[-Inf,550)",450,"[0.5,1)","[228,347)","[242,299)",76,50,116
"48","0","[600,670)","[-Inf,700)","[-Inf,550)",400,"[1, Inf)","[347, Inf)","[299, Inf)",37,70,124
"50","0","[600,670)","[-Inf,700)","[550,642)",550,"[1, Inf)","[347, Inf)","[299, Inf)",0,20,132
"53","0","[670, Inf)","[820, Inf)","[650, Inf)",400,"[0.5,1)","[347, Inf)","[299, Inf)",0,373,97
"57","0","[670, Inf)","[700,750)","[550,642)",500,"[0.5,1)","[141,228)","[299, Inf)",385,60,114
"58","0","[670, Inf)","[820, Inf)","[550,642)",1000,"[0.5,1)","[347, Inf)","[299, Inf)",0,100,129
"59","0","[600,670)","[700,750)","[-Inf,550)",550,"[0.5,1)","[347, Inf)","[299, Inf)",0,50,129
"60","0","[600,670)","[-Inf,700)","[-Inf,550)",450,"[0.5,1)","[347, Inf)","[299, Inf)",75,50,129
"61","0","[670, Inf)","[820, Inf)","[550,642)",600,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,5,128
"63","0","[670, Inf)","[820, Inf)","[650, Inf)",500,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,20,115
"64","1","[670, Inf)","[750,820)","[550,642)",350,"[0.5,1)","[141,228)","[131,242)",121,100,99
"65","0","[600,670)","[700,750)","[550,642)",500,"[0.5,1)","[347, Inf)","[299, Inf)",0,20,127
"70","0","[670, Inf)","[700,750)","[650, Inf)",1000,"[0.5,1)","[347, Inf)","[299, Inf)",0,60,126
"71","0","[600,670)","[750,820)","[650, Inf)",800,"[0.5,1)","[347, Inf)","[299, Inf)",155,125,125
"72","0","[670, Inf)","[820, Inf)","[650, Inf)",350,"[0.5,1)","[228,347)","[242,299)",66,50,109
"74","0","[600,670)","[750,820)","[-Inf,550)",1350,"[0.5,1)","[347, Inf)","[299, Inf)",0,100,125
"76","0","[670, Inf)","[700,750)","[550,642)",650,"[0.5,1)","[347, Inf)","[299, Inf)",21,35,110
"77","0","[600,670)","[700,750)","[550,642)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,30,125
"78","0","[670, Inf)","[750,820)","[-Inf,550)",650,"[0.5,1)","[347, Inf)","[299, Inf)",116,150,125
"80","0","[670, Inf)","[820, Inf)","[-Inf,550)",550,"[0.5,1)","[347, Inf)","[242,299)",20,100,124
"86","0","[600,670)","[700,750)","[650, Inf)",600,"[0.5,1)","[347, Inf)","[299, Inf)",0,25,123
"88","1","[600,670)","[700,750)","[-Inf,550)",350,"[0.5,1)","[228,347)","[299, Inf)",36,20,96
"89","0","[600,670)","[700,750)","[650, Inf)",350,"[0.5,1)","[228,347)","[299, Inf)",113,100,122
"90","0","[670, Inf)","[750,820)","[-Inf,550)",825,"[0.5,1)","[347, Inf)","[299, Inf)",0,98,122
"91","0","[670, Inf)","[820, Inf)","[650, Inf)",750,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,31,122
"95","0","[670, Inf)","[820, Inf)","[650, Inf)",600,"[0,0.5)","[-Inf,141)","[-Inf,131)",37,110,122
"96","0","[670, Inf)","[820, Inf)","[650, Inf)",900,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,10,122
"98","0","[670, Inf)","[-Inf,700)","[650, Inf)",550,"[0,0.5)","[-Inf,141)","[131,242)",225,45,121
"99","0","[600,670)","[-Inf,700)","[650, Inf)",1000,"[0.5,1)","[347, Inf)","[299, Inf)",0,74,121
"102","0","[600,670)","[750,820)","[550,642)",550,"[0.5,1)","[347, Inf)","[242,299)",0,90,121
"108","0","[600,670)","[820, Inf)","[550,642)",450,"[0,0.5)","[-Inf,141)","[-Inf,131)",40,85,120
"109","0","[670, Inf)","[820, Inf)","[650, Inf)",450,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,0,113
"113","0","[670, Inf)","[820, Inf)","[550,642)",750,"[0,0.5)","[347, Inf)","[131,242)",15,400,119
"115","0","[600,670)","[700,750)","[-Inf,550)",650,"[0.5,1)","[347, Inf)","[299, Inf)",0,40,119
"116","0","[600,670)","[-Inf,700)","[550,642)",600,"[0.5,1)","[347, Inf)","[299, Inf)",0,34,118
"117","1","[670, Inf)","[820, Inf)","[550,642)",600,"[0.5,1)","[347, Inf)","[299, Inf)",0,100,118
"118","0","[600,670)","[700,750)","[-Inf,550)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,20,117
"121","0","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",21,25,93
"125","0","[670, Inf)","[-Inf,700)","[650, Inf)",500,"[0.5,1)","[347, Inf)","[299, Inf)",26,50,118
"128","0","[670, Inf)","[700,750)","[-Inf,550)",300,"[0.5,1)","[228,347)","[242,299)",36,35,118
"130","0","[670, Inf)","[750,820)","[-Inf,550)",400,"[0.5,1)","[228,347)","[242,299)",0,78,115
"131","0","[670, Inf)","[820, Inf)","[650, Inf)",400,"[0.5,1)","[228,347)","[131,242)",0,20,116
"133","0","[670, Inf)","[820, Inf)","[550,642)",600,"[0,0.5)","[228,347)","[242,299)",0,64,115
"135","0","[600,670)","[700,750)","[650, Inf)",525,"[0.5,1)","[347, Inf)","[299, Inf)",0,20,105
"136","0","[670, Inf)","[820, Inf)","[550,642)",500,"[0,0.5)","[141,228)","[131,242)",84,100,115
"137","0","[670, Inf)","[750,820)","[-Inf,550)",650,"[0.5,1)","[347, Inf)","[299, Inf)",0,40,115
"138","0","[670, Inf)","[750,820)","[550,642)",550,"[0.5,1)","[347, Inf)","[299, Inf)",0,36,113
"140","0","[670, Inf)","[820, Inf)","[650, Inf)",550,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,3,115
"145","0","[670, Inf)","[700,750)","[650, Inf)",550,"[0.5,1)","[347, Inf)","[299, Inf)",90,50,114
"146","0","[600,670)","[700,750)","[-Inf,550)",550,"[0.5,1)","[347, Inf)","[299, Inf)",10,30,114
"147","1","[670, Inf)","[750,820)","[-Inf,550)",450,"[0.5,1)","[141,228)","[299, Inf)",152,20,114
"153","0","[670, Inf)","[820, Inf)","[550,642)",550,"[0,0.5)","[347, Inf)","[-Inf,131)",0,511,112
"157","0","[670, Inf)","[700,750)","[550,642)",550,"[0.5,1)","[347, Inf)","[299, Inf)",0,35,111
"158","0","[600,670)","[750,820)","[550,642)",350,"[0.5,1)","[228,347)","[131,242)",0,31,111
"162","0","[670, Inf)","[820, Inf)","[550,642)",450,"[0,0.5)","[228,347)","[131,242)",0,110,110
"163","0","[670, Inf)","[700,750)","[650, Inf)",550,"[0.5,1)","[347, Inf)","[299, Inf)",17,50,110
"165","0","[670, Inf)","[750,820)","[650, Inf)",550,"[0.5,1)","[347, Inf)","[299, Inf)",0,42,105
"166","0","[670, Inf)","[700,750)","[-Inf,550)",300,"[0.5,1)","[228,347)","[242,299)",123,250,110
"167","0","[600,670)","[750,820)","[550,642)",400,"[0.5,1)","[228,347)","[242,299)",106,60,106
"168","0","[600,670)","[700,750)","[550,642)",350,"[0.5,1)","[228,347)","[299, Inf)",33,40,101
"169","0","[670, Inf)","[700,750)","[550,642)",400,"[0.5,1)","[347, Inf)","[299, Inf)",0,40,109
"173","1","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",0,26,107
"174","0","[670, Inf)","[820, Inf)","[550,642)",950,"[0,0.5)","[347, Inf)","[242,299)",33,200,108
"175","1","[600,670)","[700,750)","[650, Inf)",500,"[0.5,1)","[347, Inf)","[299, Inf)",0,20,108
"177","0","[600,670)","[700,750)","[-Inf,550)",750,"[0.5,1)","[347, Inf)","[299, Inf)",0,30,107
"181","0","[600,670)","[700,750)","[650, Inf)",400,"[0.5,1)","[347, Inf)","[299, Inf)",27,20,106
"187","0","[670, Inf)","[820, Inf)","[550,642)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,12,104
"188","0","[670, Inf)","[700,750)","[550,642)",350,"[0.5,1)","[228,347)","[299, Inf)",40,25,105
"191","0","[670, Inf)","[820, Inf)","[650, Inf)",350,"[0.5,1)","[228,347)","[131,242)",0,100,104
"192","0","[670, Inf)","[700,750)","[650, Inf)",350,"[0.5,1)","[228,347)","[242,299)",0,30,97
"193","0","[600,670)","[-Inf,700)","[550,642)",350,"[0.5,1)","[347, Inf)","[299, Inf)",5,65,103
"194","1","[670, Inf)","[700,750)","[-Inf,550)",825,"[0.5,1)","[347, Inf)","[299, Inf)",0,40,92
"196","0","[600,670)","[700,750)","[-Inf,550)",450,"[0.5,1)","[347, Inf)","[299, Inf)",7,20,104
"200","0","[670, Inf)","[750,820)","[650, Inf)",850,"[0,0.5)","[347, Inf)","[299, Inf)",20,150,103
"202","0","[670, Inf)","[750,820)","[650, Inf)",350,"[0.5,1)","[228,347)","[242,299)",0,20,103
"204","1","[600,670)","[-Inf,700)","[-Inf,550)",450,"[1, Inf)","[347, Inf)","[299, Inf)",54,25,102
"206","0","[670, Inf)","[820, Inf)","[650, Inf)",450,"[0,0.5)","[-Inf,141)","[-Inf,131)",157,219,102
"208","0","[670, Inf)","[700,750)","[550,642)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,25,102
"209","0","[600,670)","[700,750)","[550,642)",500,"[0.5,1)","[347, Inf)","[299, Inf)",25,20,102
"212","0","[600,670)","[-Inf,700)","[-Inf,550)",450,"[1, Inf)","[347, Inf)","[299, Inf)",20,20,102
"214","0","[670, Inf)","[750,820)","[642,650)",400,"[0.5,1)","[347, Inf)","[242,299)",47,150,102
"216","0","[600,670)","[-Inf,700)","[-Inf,550)",350,"[0.5,1)","[347, Inf)","[299, Inf)",15,50,99
