DebtDimId,Months_On_Book,Net_Purchases_During_Cycle,Net_Cash_Advances_During_Cycle,Utility,Closed
38282,98,0,0,0.017228571,0
71812,86,81,0,1.120111111,0
89764,91,0,0,-0.053333333,0
135541,164,15,0,0.997030769,0
142281,164,74,0,0.80164,0
182484,161,67,0,0.669088889,0
184187,161,99,0,0.580784615,0
220075,157,29,0,0.035611765,0
221363,110,150,0,0.949314286,0
221609,93,14,0,1.153142857,0
244661,156,0,0,0,0
256891,154,19,0,0.281406061,0
262513,107,146,0,0.775444444,0
268268,154,26,0,0.959457143,0
276631,101,301,0,0.834075,0
299600,96,0,0,0.098181818,0
300652,98,0,0,0.842911111,0
309361,87,0,0,0.9016,0
338010,150,0,22,1.000911111,0
339192,148,62,0,0.267136364,0
386639,123,0,0,0.849241026,0
391576,149,0,0,0.8376,0
407039,150,0,0,0.66958,0
466050,149,27,0,0.008571429,0
478574,144,0,0,1.040178947,0
479567,107,47,0,1.0182,0
514892,84,22,0,0.67368,0
531346,145,103,0,1.027111111,0
612526,140,114,0,0.975,0
686891,140,188,0,0.787492,0
693497,138,0,0,-0.006,0
701945,140,369,0,0.736325,0
719820,86,0,0,0.361,1
739180,139,94,0,0.208644444,0
761227,137,0,0,0.915285714,0
834356,137,30,0,0.733644444,0
836560,87,0,0,0.015833333,0
862479,140,0,43,0.859466667,0
874568,136,0,0,0.718542857,0
890274,85,0,0,0.71248,1
895630,135,0,0,0.901314286,1
986483,123,0,0,0.137928571,0
994769,103,268,0,0.391111111,0
1006120,113,123,0,1.017942857,0
1035480,110,0,0,0.112157143,0
1042857,89,0,0,0.9612,0
1064393,119,0,0,-0.054545455,0
1074745,133,0,0,0.859977778,0
1077211,116,76,0,0.648311111,0
1080091,124,37,43,1.066675,0
1102221,97,56,0,1.013045455,0
1105270,132,0,0,1.0736,0
1133495,132,34,0,1.17596,0
1178635,90,0,0,0.02,0
1196272,97,0,303,0.80555,0
1203449,131,402,0,0.741363636,0
1208135,131,23,0,0.907418182,0
1266702,131,0,0,0.52464,0
1293315,114,385,0,0.96964,0
1349246,129,0,0,0.50896,0
1362000,129,0,0,0.844545455,0
1362924,129,75,0,0.994644444,0
1376670,128,0,0,0,0
1413069,128,719,0,0.850113044,0
1420425,115,0,0,-0.00414,0
1463986,99,121,0,0.622714286,0
1485963,127,0,0,0.96774,0
1491851,95,0,0,0.0145,0
1510490,126,0,0,0.96134,0
1536991,126,0,0,0.643284211,0
1547800,112,0,0,-0.377714286,0
1557589,126,0,0,0.91249,0
1563576,125,155,43,0.756925,0
1571303,109,66,0,0.815057143,0
1604331,125,0,0,0.593588235,0
1616088,125,0,0,0.785007407,0
1626001,96,0,0,0.062857143,0
1630532,110,21,0,0.996661539,0
1636680,125,0,0,0.984466667,0
1647792,125,116,0,0.805461539,0
1653393,119,12,0,0.6088,0
1682359,124,20,0,0.517745455,0
1695646,119,0,0,-0.356,0
1695646,119,0,0,-0.356,0
1695646,119,0,0,-0.356,0
1695646,119,0,0,-0.356,0
1699374,124,0,0,-0.00849,0
1709208,124,0,0,0.483325,0
1737032,104,136,0,0.740742857,0
1795540,113,0,0,0.746285714,0
1806925,123,0,0,0.968933333,0
1808337,123,19,0,-0.025253333,0
1808596,96,36,0,0.900685714,0
1827155,122,113,0,0.986714286,0
1827155,122,113,0,0.986714286,0
1827155,122,113,0,0.986714286,0
1827155,122,113,0,0.986714286,0
1835409,122,0,0,0.894133333,0
1836443,122,0,0,0.008,0
1844255,122,0,0,0.7598875,0
1850160,122,54,0,0.609314286,0
1862539,90,58,0,0.95836,0
1877349,122,37,0,0.065766667,0
1885541,122,0,0,-0.007466667,0
1922068,100,0,0,0.975314286,0
1925933,122,20,0,0.758230769,0
1985159,121,225,0,0.409090909,0
1989014,121,0,0,0.99115,0
1989650,121,0,0,0.987088889,0
1990297,119,244,0,0.615675,0
2028222,121,0,0,0.521618182,0
2043404,121,5,0,0.991688889,0
2087116,120,0,0,0.225177778,0
2090928,120,27,0,0.6214,0
2100176,120,22,0,1.071575,0
2126364,120,0,0,0.102509091,0
2127694,120,40,0,0.102222222,0
2156315,113,0,0,0.106644444,0
2171817,106,0,0,0.32524,0
2176714,119,60,0,0.677033333,0
2210575,119,100,0,0.79104,0
2213407,119,15,0,0.286226667,0
2221881,119,62,0,0.95914,0
2224481,119,0,0,0.913228571,0
2230664,119,0,0,0.878661539,0
2255389,118,0,0,0.993383333,0
2275327,118,0,0,0.600816667,0
2295854,117,0,0,0.926222222,0
2296393,119,137,0,0.169525,0
2299228,118,31,0,0.9578,0
2302624,93,21,0,0.9656,0
2302705,118,0,0,0.509818182,0
2340299,118,0,0,0.0201,0
2349239,94,0,0,0.667816667,0
2352008,118,26,63,0.95686,0
2360660,118,9,0,0.8538,0
2377582,118,27,0,0.988777778,0
2399988,118,36,0,0.8985,0
2543188,90,4,0,0.95552,0
2544450,115,0,0,0.656725,0
2559003,116,0,0,0.564175,0
2565272,84,11,0,0.9348,0
