DebtDimId,Months_On_Book,Credit_Limit,Opening_Balance,Ending_Balance,Over_limit_Amount,Actual_Min_Pay_Due,Total_Min_Pay_Due,Net_Payments_During_Cycle,Net_Purchases_During_Cycle,Net_Cash_Advances_During_Cycle,Net_Premier_Fees_Billed_During_C,Net_Behavior_Fees_Billed_During,Net_Concessions_Billed_During_Cy,Quarterly_Fico_Score,Behavior_Score,Good_Customer_Score,Utility,Bad
38282,98,350,141,6,0,6,6,141,0,0,6,0,0,539,699,982,0.017228571,0
71812,86,450,569,504,54,20,74,160,81,0,6,8,0,427,633,696,1.120111111,0
89764,91,300,-2,-16,0,0,0,20,0,0,6,0,0,686,701,997,-0.053333333,0
135541,164,650,641,648,0,20,20,20,15,0,1,11,0,474,654,704,0.997030769,0
142281,164,250,172,200,0,20,20,50,74,0,0,4,0,625,687,726,0.80164,0
182484,161,450,268,301,0,20,20,40,67,0,1,5,0,747,687,748,0.669088889,0
184187,161,650,370,378,0,20,20,100,99,0,1,7,0,464,662,786,0.580784615,0
220075,157,850,30,30,0,20,20,30,29,0,1,0,0,772,701,978,0.035611765,0
221363,110,350,274,332,0,20,20,100,150,0,3,5,0,671,688,725,0.949314286,0
221609,93,350,353,404,54,20,74,23,14,0,54,6,0,550,637,695,1.153142857,0
244661,156,950,0,0,0,0,0,0,0,0,0,0,0,635,688,0,0,0
256891,154,825,309,232,0,20,20,100,19,0,0,5,0,655,709,904,0.281406061,0
262513,107,450,491,349,0,20,20,300,146,0,5,7,0,540,655,738,0.775444444,0
268268,154,350,361,336,0,20,20,62,26,0,5,6,0,600,660,710,0.959457143,0
276631,101,800,401,667,0,21,21,50,301,0,6,10,0,492,682,729,0.834075,0
299600,96,550,12,54,0,25,25,12,0,0,54,0,0,603,677,968,0.098181818,0
300652,98,450,387,379,0,20,20,20,0,0,6,6,0,523,674,737,0.842911111,0
309361,87,300,278,270,0,20,20,20,0,0,6,7,0,643,666,736,0.9016,0
338010,150,450,443,450,0,20,20,30,0,22,6,9,0,585,652,692,1.000911111,0
339192,148,"1,100",321,294,0,20,20,100,62,0,6,5,0,682,710,914,0.267136364,0
386639,123,975,837,828,0,25,25,26,0,0,3,14,0,596,678,738,0.849241026,0
391576,149,800,710,670,0,21,21,62,0,0,6,17,0,520,654,722,0.8376,0
407039,150,500,433,335,0,20,20,110,0,0,6,6,0,629,671,839,0.66958,0
